Tên quốc gia,Tổng số ca nhiễm,Số ca tử vong,Số ca hồi phục
North America,"131,889,132","1,695,941","127,665,129"
Asia,"221,500,265","1,553,662","205,673,091"
Europe,"253,406,198","2,101,824","248,754,104"
South America,"70,200,879","1,367,332","66,683,585"
Oceania,"14,895,771","33,015","14,752,388"
Africa,"12,860,924","258,892","12,090,808"
,721,15,706
World,"704,753,890","7,010,681","675,619,811"
USA,"111,820,082","1,219,487","109,814,428"
India,"45,035,393","533,570",N/A
France,"40,138,560","167,642","39,970,918"
Germany,"38,828,995","183,027","38,240,600"
Brazil,"38,743,918","711,380","36,249,161"
S. Korea,"34,571,873","35,934","34,535,939"
Japan,"33,803,572","74,694",N/A
Italy,"26,723,249","196,487","26,361,218"
UK,"24,910,387","232,112","24,678,275"
Russia,"24,124,215","402,756","23,545,818"
Turkey,"17,232,066","102,174",N/A
Spain,"13,914,811","121,760","13,762,417"
